ID,Date,Day,"High Temp","Low Temp",Precipitation,"Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge",Total,ID,Date,Day,"High Temp","Low Temp",Precipitation,"Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge",Total
173,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
174,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
195,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
196,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
197,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
198,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
199,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
200,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
201,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
202,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
203,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
204,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
6,"2016-04-07 00:00:00","2016-04-07 00:00:00",57,53.1,0.09,1276,2581,3282,2457,9596,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
10,"2016-04-11 00:00:00","2016-04-11 00:00:00",62.1,46,0.01,2005,3791,4334,3182,13312,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
11,"2016-04-12 00:00:00","2016-04-12 00:00:00",57,45,0.2,1045,2178,2762,2082,8067,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
12,"2016-04-13 00:00:00","2016-04-13 00:00:00",57,39.9,0,2840,5395,5995,4192,18422,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
13,"2016-04-14 00:00:00","2016-04-14 00:00:00",62.1,44.6,0,2861,5309,6030,4115,18315,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
14,"2016-04-15 00:00:00","2016-04-15 00:00:00",64,44.1,0,2770,5072,5816,3912,17570,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
15,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
16,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
17,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
18,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
19,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
20,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
21,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
22,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
23,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
24,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
25,"2016-04-26 00:00:00","2016-04-26 00:00:00",60.1,46.9,0.24,1997,3520,4559,2929,13005,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
26,"2016-04-27 00:00:00","2016-04-27 00:00:00",62.1,46.9,0,3343,5606,6577,4388,19914,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
27,"2016-04-28 00:00:00","2016-04-28 00:00:00",57.9,48,0,2486,4152,5336,3657,15631,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
28,"2016-04-29 00:00:00","2016-04-29 00:00:00",57,46.9,0.05,2375,4178,5053,3348,14954,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
29,"2016-04-30 00:00:00","2016-04-30 00:00:00",64,48,0,3199,4952,5675,3606,17432,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
36,"2016-04-07 00:00:00","2016-04-07 00:00:00",57,53.1,0.09,1276,2581,3282,2457,9596,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
40,"2016-04-11 00:00:00","2016-04-11 00:00:00",62.1,46,0.01,2005,3791,4334,3182,13312,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
41,"2016-04-12 00:00:00","2016-04-12 00:00:00",57,45,0.2,1045,2178,2762,2082,8067,2,"2016-04-03 00:00:00","2016-04-03 00:00:00",39.9,34,0.09,526,1232,1695,1306,4759
